ID 投掷物名称
540298 钛合金耙+石矛

540299 钛合金耙+黄铜矛

540300 钛合金耙+能量矛

540315 钨金耙+石矛

540316 钨金耙+黄铜矛

540317 钨金耙+能量矛

540395 石矛+木棒

540396 石矛+尖尖碰碰锤

540397 石矛+冻结棒

540398 石矛+钛金战锤

540399 石矛+石剑

540400 石矛+短剑

540401 石矛+收割者

540402 石矛+能量剑

540403 石矛+石矛

540409 黄铜矛+木棒

540410 黄铜矛+尖尖碰碰锤

540411 黄铜矛+冻结棒

540412 黄铜矛+钛金战锤

540413 黄铜矛+石剑

540414 黄铜矛+短剑

540415 黄铜矛+收割者

540416 黄铜矛+能量剑

540417 黄铜矛+石矛

540418 黄铜矛+黄铜矛

540419 黄铜矛+魔鬼鱼叉

540425 能量矛+木棒

540426 能量矛+尖尖碰碰锤

540427 能量矛+冻结棒

540428 能量矛+钛合金锤

540429 能量矛+石剑

540430 能量矛+短剑

540431 能量矛+收割者

540432 能量矛+能量剑

540433 能量矛+石矛

540434 能量矛+黄铜矛

540435 能量矛+能量矛

540436 能量矛+魔鬼鱼叉

540450 魔鬼鱼叉+石矛

540014 黄铜斧+魔鬼鱼叉

540027 石斧+魔鬼鱼叉

540042 秘银斧+魔鬼鱼叉

540058 钛合金斧+魔鬼鱼叉

540075 链锯+魔鬼鱼叉

540089 黄铜镐+魔鬼鱼叉

540102 石镐+魔鬼鱼叉

540117 秘银镐+魔鬼鱼叉

540133 钛合金镐+魔鬼鱼叉

540151 钻头+魔鬼鱼叉

540168 星瞳钻头+魔鬼鱼叉

540182 黄铜铲+魔鬼鱼叉

540195 石铲+魔鬼鱼叉

540210 秘银铲+魔鬼鱼叉

540226 钛合金铲+魔鬼鱼叉

540243 钨金铲+魔鬼鱼叉

540257 黄铜耙+魔鬼鱼叉

540270 石耙+魔鬼鱼叉

540285 秘银耙+魔鬼鱼叉

540301 钛合金耙+魔鬼鱼叉

540318 钨金耙+魔鬼鱼叉

540442 魔鬼鱼叉+木棒

540443 魔鬼鱼叉+尖尖碰碰锤

540444 魔鬼鱼叉+冻结棒

540445 魔鬼鱼叉+钛金战锤

540446 魔鬼鱼叉+石剑

540447 魔鬼鱼叉+短剑

540448 魔鬼鱼叉+收割者

540449 魔鬼鱼叉+能量剑

540451 魔鬼鱼叉+魔鬼鱼叉

