ID 生物模型名称
150082 甜心洛普

150083 绒绒洛普

150084 闪闪洛普

150085 小银狼

150086 白银猎手

150087 白银领主

150088 熊不醒

150089 瞌睡熊宝

150090 抱梦考拉

150091 章鱼丸子

150092 章鱼厨

150093 八爪美食家

150094 机小智

150095 电波助手

150096 超电子智脑

310073 灰色三角龙

310080 灰色腕龙

310081 红色翼龙

310082 绿色副栉龙

310083 青色迅猛龙

310084 棕色三角龙

310085 长剑三角龙boss

310086 蓝色三角龙

310089 狂躁霸王龙

310090 武装霸王龙

310091 泰坦腕龙boss

310092 灰色翼龙

310093 紫色翼龙

310094 风神翼龙boss

310095 紫色迅猛龙

310096 武装迅猛龙boss

310097 黑色迅猛龙

310098 棕色双冠龙

310099 机械霸王龙boss

310100 虚空佣兵

310101 虚空博士

310102 绿色剑龙

310103 灰色双冠龙

310104 青色副栉龙

310105 红色副栉龙

310106 黄色碗龙

310107 绿色碗龙

310108 霸王龙

310109 残暴霸王龙

310110 蓝色剑龙

